date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-02,0.5819444444444445,0.5945601851851852,0.2847222222222222,0.35162037037037036,0.13842592592592592,0.26620370370370366,0.46770833333333334,0.06342592592592593,0.8429398148148147,0.39918981481481486,0.6035879629629629,0.8075231481481481,0.7253472222222223,0.5543981481481481,0.9092592592592592,0.08125,0.18877314814814813,0.23807870370370368,0.11458333333333333,0.3827546296296296,0.028935185185185182,0.4502314814814815,0.20335648148148147,0.5127314814814815,0.06018518518518519,0.16516203703703705,0.772337962962963,0.7447916666666666,0.7238425925925925,0.19560185185185186,0.44664351851851847,0.3782407407407407,0.25,0.8298611111111112,0.8298611111111112,0.7652777777777777
2012-10-03,0.4525462962962963,0.6342592592592593,0.3090277777777778,0.27141203703703703,0.17604166666666668,0.3964120370370371,0.4386574074074074,0.35509259259259257,0.3686342592592593,0.30092592592592593,0.555787037037037,0.8081018518518519,0.6174768518518519,0.6914351851851852,0.5010416666666667,0.7168981481481481,0.23229166666666667,0.680787037037037,0.10231481481481482,0.4537037037037037,0.13020833333333334,0.5381944444444444,0.37430555555555556,0.42627314814814815,0.23657407407407408,0.16550925925925927,0.2678240740740741,0.3303240740740741,0.632175925925926,0.43043981481481486,0.36932870370370374,0.5763888888888888,0.3871527777777778,0.7263888888888889,0.7291666666666666,0.6813657407407407
2012-10-04,0.24212962962962964,0.5743055555555555,0.4513888888888889,0.6122685185185185,0.054050925925925926,0.33101851851851855,0.6082175925925927,0.26296296296296295,0.40150462962962963,0.48842592592592593,0.25763888888888886,0.24456018518518519,0.2534722222222222,0.27650462962962963,0.3472222222222222,0.3668981481481482,0.3981481481481482,0.3133101851851852,0.5173611111111112,0.27662037037037035,0.25462962962962965,0.48032407407407407,0.3298611111111111,0.23576388888888888,0.5075231481481481,0.09722222222222222,0.2791666666666667,0.19988425925925923,0.2821759259259259,0.5243055555555556,0.5138888888888888,0.6369212962962962,0.4681712962962963,0.7422453703703703,0.7422453703703703,0.7949074074074075
2012-10-05,0.4108796296296296,0.50625,0.5717592592592593,0.2881944444444444,0.3326388888888889,0.492824074074074,0.5954861111111112,0.34444444444444444,0.6274305555555556,0.26678240740740744,0.4108796296296296,0.4427083333333333,0.34259259259259256,0.4638888888888889,0.6019675925925926,0.36296296296296293,0.5836805555555555,0.4442129629629629,0.5607638888888888,0.15393518518518517,0.5902777777777778,0.1875,0.3101851851851852,0.23680555555555555,0.4386574074074074,0.22858796296296297,0.19444444444444445,0.13773148148148148,0.18425925925925923,0.6828703703703703,0.5435185185185185,0.5563657407407407,0.32349537037037035,0.7506944444444444,0.7506944444444444,0.8013888888888889
2012-10-06,0.3491898148148148,0.37233796296296295,0.4872685185185185,0.328125,0.08240740740740742,0.5376157407407407,0.4189814814814815,0.2863425925925926,0.6347222222222222,0.844212962962963,0.3807870370370371,0.5578703703703703,0.31655092592592593,0.3179398148148148,0.7783564814814814,0.6680555555555555,0.6939814814814815,0.4299768518518518,0.771412037037037,0.16701388888888888,0.6631944444444444,0.30092592592592593,0.30613425925925924,0.21828703703703703,0.5538194444444444,0.1423611111111111,0.6590277777777778,0.5180555555555556,0.587037037037037,0.3900462962962963,0.45532407407407405,0.4685185185185185,0.30092592592592593,0.8194444444444444,0.8194444444444444,0.8305555555555556
2012-10-07,0.2835648148148148,0.33101851851851855,0.6133101851851852,0.30439814814814814,0.04664351851851852,0.3645833333333333,0.34664351851851855,0.15069444444444444,0.4203703703703704,0.26620370370370366,0.1480324074074074,0.2178240740740741,0.17939814814814814,0.6195601851851852,0.8854166666666666,0.8175925925925925,0.777662037037037,0.4998842592592593,0.7760416666666666,0.2708333333333333,0.6815972222222222,0.3784722222222222,0.3123842592592592,0.20300925925925925,0.7035879629629629,0.29745370370370366,0.6387731481481482,0.5810185185185185,0.7064814814814815,0.34375,0.5160879629629629,0.533449074074074,0.4638888888888889,0.9081018518518519,0.9081018518518519,0.8553240740740742
2012-10-08,0.26944444444444443,0.4664351851851852,0.744212962962963,0.35185185185185186,0.07118055555555555,0.4560185185185185,0.31712962962962965,0.18738425925925925,0.5267361111111111,0.42592592592592593,0.08796296296296297,0.11354166666666667,0.17824074074074076,0.4513888888888889,0.5416666666666666,0.8140046296296297,0.7569444444444444,0.7243055555555555,0.8246527777777778,0.78125,0.4791666666666667,0.25578703703703703,0.1087962962962963,0.39444444444444443,0.6365740740740741,0.4108796296296296,0.5659722222222222,0.6524305555555555,0.7221064814814814,0.3289351851851852,0.580787037037037,0.5237268518518519,0.6166666666666667,0.8180555555555555,0.8180555555555555,0.7993055555555556
2012-10-09,0.3146990740740741,0.16782407407407407,0.5925925925925927,0.2777777777777778,0.183912037037037,0.4652777777777778,0.5056712962962963,0.21724537037037037,0.3851851851851852,0.4305555555555556,0.09143518518518517,0.26064814814814813,0.3003472222222222,0.4953703703703704,0.4982638888888889,0.23726851851851855,0.509375,0.39467592592592593,0.2019675925925926,0.4126157407407407,0.6365740740740741,0.3883101851851852,0.1579861111111111,0.1804398148148148,0.2881944444444444,0.4149305555555556,0.4988425925925926,0.7163194444444444,0.7047453703703704,0.26851851851851855,0.453125,0.5827546296296297,0.4461805555555556,0.75,0.75,0.7833333333333333
2012-10-10,0.23587962962962963,0.4890046296296296,0.4131944444444444,0.4934027777777778,0.16342592592592592,0.44583333333333336,0.41331018518518514,0.2704861111111111,0.4581018518518518,0.4371527777777778,0.5,0.4,0.3079861111111111,0.6123842592592593,0.7570601851851853,0.4128472222222222,0.49270833333333336,0.20833333333333334,0.5284722222222222,0.3908564814814815,0.5085648148148149,0.17002314814814815,0.3627314814814815,0.2861111111111111,0.21446759259259257,0.08101851851851852,0.20682870370370368,0.20335648148148147,0.4195601851851852,0.3255787037037037,0.602662037037037,0.5752314814814815,0.2193287037037037,0.7041666666666667,0.7041666666666667,0.8347222222222223
2012-10-11,0.3856481481481482,0.5724537037037037,0.6265046296296296,0.26666666666666666,0.3559027777777778,0.5674768518518518,0.4358796296296296,0.4267361111111111,0.49317129629629625,0.3731481481481482,0.4097222222222222,0.2670138888888889,0.3133101851851852,0.3105324074074074,0.7506944444444444,0.7853009259259258,0.6269675925925926,0.5862268518518519,0.7591435185185186,0.38807870370370373,0.6943287037037037,0.5075231481481481,0.5115740740740741,0.2199074074074074,0.5903935185185185,0.44340277777777776,0.38055555555555554,0.27395833333333336,0.4957175925925926,0.4822916666666667,0.592824074074074,0.6819444444444445,0.3141203703703704,0.5783564814814816,0.5783564814814816,0.7162037037037037
