date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2013-10-10,78.58333333333333,89.33333333333333,70.20833333333333,84.41666666666667,73.29166666666667,78.70833333333333,58.833333333333336,43.083333333333336,47.333333333333336,79.5,70.5,60.083333333333336,73.75,73.125,59.708333333333336,82.08333333333333,84.83333333333333,80.20833333333333,70.79166666666667,71.33333333333333,79.125,88.58333333333333,72.70833333333333,91.58333333333333,58.75,89.875,83.83333333333333,79.41666666666667,71.375,93.95833333333333,57.041666666666664,49.291666666666664,49.958333333333336,84.375,90.375,68.125
2013-10-11,85.95833333333333,86.625,79.66666666666667,88.08333333333333,68.08333333333333,86.125,54.166666666666664,45.75,56.75,65.70833333333333,78.41666666666667,68.70833333333333,78.5,66.79166666666667,62.625,81.0,71.66666666666667,75.25,71.91666666666667,72.83333333333333,80.375,83.16666666666667,75.58333333333333,88.66666666666667,79.5,82.16666666666667,89.41666666666667,81.125,80.08333333333333,85.375,60.458333333333336,63.625,45.125,81.70833333333333,84.91666666666667,68.20833333333333
2013-10-12,86.58333333333333,90.33333333333333,90.79166666666667,90.25,67.375,84.54166666666667,46.083333333333336,47.333333333333336,51.0,72.70833333333333,78.0,74.54166666666667,85.91666666666667,67.5,69.95833333333333,75.625,77.54166666666667,71.45833333333333,75.0,63.708333333333336,79.08333333333333,78.125,82.375,81.125,80.45833333333333,81.83333333333333,86.875,74.125,78.25,86.33333333333333,66.79166666666667,66.08333333333333,59.875,83.875,72.16666666666667,76.45833333333333
2013-10-13,88.33333333333333,86.75,80.16666666666667,91.75,67.20833333333333,82.66666666666667,33.875,43.041666666666664,47.958333333333336,68.66666666666667,89.95833333333333,87.70833333333333,92.95833333333333,59.208333333333336,69.45833333333333,63.666666666666664,84.83333333333333,82.20833333333333,65.04166666666667,64.5,74.29166666666667,78.91666666666667,84.5,76.54166666666667,81.875,86.54166666666667,79.25,79.95833333333333,78.66666666666667,82.70833333333333,75.29166666666667,75.41666666666667,62.833333333333336,85.45833333333333,78.33333333333333,80.04166666666667
2013-10-14,87.83333333333333,83.41666666666667,73.20833333333333,91.41666666666667,73.04166666666667,66.41666666666667,40.875,48.375,41.416666666666664,63.083333333333336,90.375,90.45833333333333,87.45833333333333,57.458333333333336,71.20833333333333,60.583333333333336,94.66666666666667,69.33333333333333,62.958333333333336,70.08333333333333,75.95833333333333,88.625,88.70833333333333,72.91666666666667,90.25,85.16666666666667,78.66666666666667,86.625,88.41666666666667,83.29166666666667,72.41666666666667,74.0,77.875,84.04166666666667,80.08333333333333,79.29166666666667
2013-10-15,89.70833333333333,75.16666666666667,61.541666666666664,91.33333333333333,41.083333333333336,66.375,37.833333333333336,34.5,44.166666666666664,67.83333333333333,82.79166666666667,92.58333333333333,80.70833333333333,87.5,92.08333333333333,82.125,91.125,75.04166666666667,82.0,76.75,85.70833333333333,96.70833333333333,80.375,77.0,78.79166666666667,88.58333333333333,77.625,88.54166666666667,89.29166666666667,78.33333333333333,62.166666666666664,67.04166666666667,60.041666666666664,79.29166666666667,81.5,73.33333333333333
2013-10-16,88.16666666666667,76.54166666666667,62.125,90.41666666666667,25.666666666666668,69.29166666666667,32.625,36.75,48.083333333333336,69.16666666666667,89.625,88.08333333333333,86.33333333333333,80.375,91.95833333333333,75.91666666666667,93.75,93.29166666666667,79.5,80.16666666666667,82.75,95.54166666666667,83.45833333333333,87.625,67.04166666666667,89.0,84.16666666666667,98.54166666666667,80.25,89.16666666666667,65.08333333333333,70.58333333333333,60.958333333333336,86.66666666666667,75.29166666666667,78.04166666666667
2013-10-17,89.79166666666667,83.54166666666667,66.79166666666667,87.0,30.916666666666668,64.875,31.25,36.875,34.166666666666664,67.45833333333333,76.625,71.45833333333333,76.58333333333333,75.625,82.20833333333333,79.29166666666667,95.625,85.16666666666667,86.91666666666667,76.75,87.08333333333333,83.79166666666667,85.04166666666667,83.875,82.58333333333333,81.29166666666667,88.16666666666667,90.08333333333333,86.04166666666667,84.875,60.416666666666664,66.875,75.875,83.08333333333333,76.54166666666667,88.25
2013-10-18,96.16666666666667,78.125,85.5,88.375,46.291666666666664,73.79166666666667,28.375,36.875,32.833333333333336,90.29166666666667,80.33333333333333,73.75,74.375,73.54166666666667,80.625,73.04166666666667,96.04166666666667,74.625,79.5,78.08333333333333,80.125,80.125,82.16666666666667,83.375,87.16666666666667,77.875,79.33333333333333,90.25,87.29166666666667,76.70833333333333,74.0,62.5,66.0,71.16666666666667,72.0,84.33333333333333
2013-10-19,90.08333333333333,76.66666666666667,83.83333333333333,90.66666666666667,50.666666666666664,67.83333333333333,29.875,28.791666666666668,42.041666666666664,63.75,74.70833333333333,70.58333333333333,82.95833333333333,78.20833333333333,80.04166666666667,72.125,90.375,74.25,82.125,74.5,86.91666666666667,88.16666666666667,86.54166666666667,81.04166666666667,85.66666666666667,84.79166666666667,78.16666666666667,89.125,82.33333333333333,65.66666666666667,79.375,68.79166666666667,76.16666666666667,74.70833333333333,73.45833333333333,95.29166666666667
