date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-01,284.6207691499091,282.1181974809091,289.41664241845456,281.76726228527275,291.8465006697272,291.5734950213636,293.35891116645456,296.7017392647273,285.4762077514546,284.5773279487273,289.4449678541818,290.03821958454546,288.4454820936364,290.1617761205455,287.1277990136364,286.24182945309093,284.5526694692727,287.55645929772726,284.1006887051818,294.0936044507273,284.49234432045455,298.5880674358182,288.65183174881815,299.8707232995455,281.2824986307273,286.29085411709093,286.0431648499091,288.5694198979091,285.88798007909094,287.37109075154547,306.6214859652727,304.2489827257273,310.1588461539091,304.4,304.4,303.5
2012-10-02,286.14518982220835,286.13772822445833,292.9583059815,285.1568884485417,295.89045048579163,295.2914715277083,297.248385127625,301.211967703125,289.77182050275,286.2285713206667,291.8604568101667,293.9221567564583,292.38539141412497,292.48732936308335,289.3472773206667,287.83939380729163,287.71351137541666,289.448164634375,286.11874368683334,294.73050494458334,287.58423241241667,300.908817924875,288.86154180983334,300.152229788625,284.77779613641667,287.397390278875,289.2395951712917,290.89238888508334,286.9379309810417,289.0130897047083,302.22677348937503,302.787466944,306.75907051279165,303.9,303.9,302.675
2012-10-03,285.528125,289.59979166666665,296.9291666666667,287.67395833333336,299.00854166666664,297.87875,300.69187500000004,302.86708333333337,291.2054166666667,288.7475,292.8229166666667,295.00437500000004,294.545,292.019375,286.64208333333335,288.2395833333333,289.12791666666664,289.20666666666665,286.45458333333335,293.59229166666665,288.6795833333333,299.74541666666664,295.560625,299.2447916666667,290.418125,287.32687500000003,290.3535416666667,290.065625,287.3745833333333,289.0208333333333,301.194375,301.6879166666667,303.2895833333333,301.56104166666665,301.5025,301.258125
2012-10-04,284.37333333333333,286.4825,295.6870833333333,284.39166666666665,295.99791666666664,296.0808333333333,301.82,302.23291666666665,293.09625,291.5933333333333,292.98541666666665,294.4775,294.2054166666667,290.00208333333336,288.3958333333333,291.1879166666667,290.03249999999997,289.51208333333335,288.8070833333333,291.02375,290.15208333333334,298.53541666666666,294.7558333333333,300.3975,293.21875,288.21791666666667,293.63375,291.9870833333333,286.86083333333335,290.04375,300.0941666666667,299.94,301.7702083333333,299.13916666666665,299.13916666666665,298.9241666666666
2012-10-05,283.7572916666667,288.2860416666667,290.6354166666667,284.75624999999997,292.9483333333333,293.894375,300.62854166666665,301.81125000000003,292.82916666666665,280.70937499999997,298.190625,296.36083333333335,297.01479166666667,289.00375,285.186875,292.7895833333333,291.20750000000004,291.90125,290.74375000000003,292.1564583333333,291.4010416666667,297.83979166666666,294.18,301.86333333333334,291.50708333333336,289.36645833333336,294.0158333333333,294.04354166666667,287.53520833333334,289.51729166666667,299.71208333333334,300.153125,299.86,298.8775,298.8775,297.54749999999996
2012-10-06,284.8258333333333,288.2910416666667,290.0104166666667,285.6745833333334,292.36875000000003,292.8147916666667,299.150625,299.81041666666664,292.8854166666667,275.71729166666665,298.36645833333336,298.3122916666667,297.65625,283.5566666666667,278.18,284.2808333333333,282.5079166666667,292.6820833333333,285.31104166666665,292.41625,288.9916666666667,298.613125,292.8520833333333,301.68083333333334,291.5133333333333,288.8754166666667,292.01,292.95374999999996,288.958125,291.1489583333333,300.1525,299.1720833333333,299.218125,298.5425,298.5425,297.3275
2012-10-07,285.59583333333336,288.2625,289.57375,286.18333333333334,292.92875,292.38208333333336,298.5910416666667,299.24833333333333,288.76479166666667,274.16125,295.68375,286.375,296.74125,279.1675,277.00708333333336,279.43958333333336,279.2754166666667,286.21958333333333,279.00791666666663,292.7908333333333,281.06958333333336,298.6295833333333,293.34083333333336,301.15916666666664,286.2275,283.34708333333333,291.19374999999997,292.0266666666667,286.1979166666667,291.1929166666667,299.1691666666666,298.4577083333333,301.0602083333333,297.93541666666664,297.93541666666664,296.7708333333333
2012-10-08,285.9433333333333,288.4870833333334,288.5104166666667,287.14416666666665,293.91875,293.69166666666666,296.5110416666667,299.53208333333333,281.9875,275.7225,286.77375,282.91333333333336,289.44666666666666,279.5758333333333,276.3066666666667,280.5729166666667,280.23791666666665,283.73625,279.62645833333335,288.015,280.88166666666666,298.55041666666665,287.87708333333336,299.55583333333334,280.88958333333335,279.94625,282.69958333333335,283.64708333333334,281.2475,283.8079166666667,297.31583333333333,298.15125,300.54854166666667,297.96750000000003,297.96750000000003,296.71999999999997
2012-10-09,285.95729166666666,285.1933333333333,288.3497916666667,286.7077083333333,292.4402083333333,293.3520833333333,295.57479166666667,299.025625,284.58166666666665,281.71729166666665,286.67625,284.1872916666667,288.21375,282.480625,281.2370833333334,280.721875,280.03479166666665,283.90333333333336,278.4925,285.62208333333336,280.510625,298.46999999999997,283.96166666666664,299.56541666666664,277.9485416666667,279.885,281.06354166666665,282.44645833333334,280.24791666666664,283.01437500000003,299.07666666666665,298.16479166666664,299.19604166666664,297.8075,297.8075,296.475
2012-10-10,284.91395833333337,284.3639583333333,288.50624999999997,285.96125,291.34270833333335,292.7708333333333,298.1566666666667,299.2135416666667,288.3966666666667,282.26437500000003,292.320625,289.6822916666667,291.98354166666667,286.1716666666667,282.1410416666667,284.7114583333333,285.42020833333333,283.02875,281.2416666666667,286.83520833333336,282.70645833333333,293.1870833333333,283.1875,300.785625,279.9372916666667,282.4554166666667,283.7425,284.89395833333333,281.75895833333334,284.46791666666667,299.1720833333333,297.8016666666667,299.499375,298.14,298.14,296.6125
2012-10-11,283.82875,286.59979166666665,289.8620833333333,287.55625000000003,292.47208333333333,292.7389583333333,298.22520833333334,299.7752083333333,287.1458333333333,284.5995833333333,298.7964583333333,293.5058333333333,298.485,283.9320833333333,278.65833333333336,284.1404166666667,281.97520833333334,288.36604166666666,283.0697916666667,288.8129166666667,283.08104166666664,293.8025,288.16979166666664,300.5375,283.34,284.16125,288.0027083333333,287.95729166666666,284.753125,286.464375,300.03020833333335,297.3125,298.77125,297.86875000000003,297.86875000000003,297.26770833333336
